region,param_id,layer,year,metric,p05,p50,p95,width_over_median,interpretation_boundary_year,turning_year_p50,turning_year_spread,mc_runs,elapsed_sec
california,F01,L1,2030,ATS Emissions (kg CO2),5213362088.713666,5258452932.236259,5306956073.130521,0.017798768121150072,,2046.0,0.0,80,0.4
california,F01,L1,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,,2046.0,0.0,80,0.4
california,F01,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,0.0,80,0.4
california,F02,L1,2030,ATS Emissions (kg CO2),4961294679.131602,5272827763.582068,5446072733.684815,0.09193891329078453,2062.0,2046.0,4.0,80,0.4
california,F02,L1,2050,ATS Emissions (kg CO2),2612969836.207726,3656226383.1281447,4236385988.0719814,0.44401412323799133,2062.0,2046.0,4.0,80,0.4
california,F02,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,3608987192.869752,27.369415717094213,2062.0,2046.0,4.0,80,0.4
california,F03,L1,2030,ATS Emissions (kg CO2),5249364226.648155,5264834911.901218,5282398224.55562,0.00627446035065435,,2046.0,0.0,80,0.4
california,F03,L1,2050,ATS Emissions (kg CO2),3589631408.1395617,3619451245.3974886,3653304634.3390446,0.017591955764136923,,2046.0,0.0,80,0.4
california,F03,L1,2075,ATS Emissions (kg CO2),82397886.3969644,164603482.0119502,257928538.6665313,1.0663848062267807,,2046.0,0.0,80,0.4
california,F04,L1,2030,ATS Emissions (kg CO2),5247204437.436025,5258049446.100835,5266715057.889929,0.0037106194329101392,,2046.0,0.0,80,0.4
california,F04,L1,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,,2046.0,0.0,80,0.4
california,F04,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,0.0,80,0.4
california,F05,L1,2030,ATS Emissions (kg CO2),4853819207.253873,5267371564.137545,5597817052.009495,0.14124650894595486,,2046.0,2.0,80,0.4
california,F05,L1,2050,ATS Emissions (kg CO2),3328215740.4120975,3612468380.9019117,3839598031.844679,0.1415603508493288,,2046.0,2.0,80,0.4
california,F05,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,2.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2030,ATS Emissions (kg CO2),4251175607.286979,5207148817.919779,6052030587.972634,0.3458428102704168,,2046.0,5.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2050,ATS Emissions (kg CO2),2907353826.0930343,3559120535.701012,4122699515.319725,0.3414735963662196,,2046.0,5.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2075,ATS Emissions (kg CO2),109734697.4182685,125853738.28820202,139904412.96185654,0.23972045609404247,,2046.0,5.0,80,0.4
california,F09,L2,2030,ATS Emissions (kg CO2),5178405761.54594,5255909609.364204,5335470694.670669,0.029883492068602753,,2046.0,4.0,80,0.4
california,F09,L2,2050,ATS Emissions (kg CO2),2830163032.014297,3587433440.287865,4364804593.446497,0.4277825880189867,,2046.0,4.0,80,0.4
california,F09,L2,2075,ATS Emissions (kg CO2),100332692.09786111,126574492.26335955,153512846.42685992,0.4201490630382979,,2046.0,4.0,80,0.4
california,F10,L2,2030,ATS Emissions (kg CO2),4071646176.5894456,5279789599.940101,6381689178.579399,0.4375255790526503,,2046.0,4.0,80,0.4
california,F10,L2,2050,ATS Emissions (kg CO2),3364250403.7403607,3610368280.0452023,3834842608.96533,0.13034465426310402,,2046.0,4.0,80,0.4
california,F10,L2,2075,ATS Emissions (kg CO2),127195483.7140906,127214355.56380925,127231567.82756138,0.00028364812533030907,,2046.0,4.0,80,0.4
california,F11,L2,2030,ATS Emissions (kg CO2),5243887162.709638,5257159905.060969,5271610573.233074,0.0052734577270034605,,2046.0,1.0,80,0.4
